Product Name,Product Type,Price,Rating,Reviews
Blonde | Kybrow Kit,Kybrow,$45.00,5.0 star rating,21 Reviews
Auburn | Kybrow Kit,Kybrow,$45.00,4.9 star rating,8 Reviews
Cool Brown | Kybrow Kit,Kybrow,$45.00,4.6 star rating,28 Reviews
Medium Brown | Kybrow Kit,Kybrow,$45.00,4.6 star rating,75 Reviews
Dark Brown | Kybrow Kit,Kybrow,$45.00,4.7 star rating,71 Reviews
Ebony | Kybrow Kit,Kybrow,$45.00,4.9 star rating,36 Reviews
Blonde | Brow Duo Kit,Kybrow,$24.00,4.9 star rating,21 Reviews
Auburn | Kybrow Duo Kit,Kybrow,$24.00,4.9 star rating,15 Reviews
Cool Brown | Brow Duo Kit,Kybrow,$24.00,4.8 star rating,27 Reviews
Medium Brown | Brow Duo Kit,Kybrow,$24.00,4.7 star rating,33 Reviews
Dark Brown | Brow Duo Kit,Kybrow,$24.00,4.7 star rating,37 Reviews
Ebony | Brow Duo Kit,Kybrow,$24.00,4.8 star rating,22 Reviews
Blonde | Brow Powder,Kybrow,$16.00,4.7 star rating,11 Reviews
Auburn | Kybrow Powder,Kybrow,$16.00,4.8 star rating,6 Reviews
Cool Brown | Brow Powder,Kybrow,$16.00,4.6 star rating,25 Reviews
Medium Brown | Brow Powder,Kybrow,$16.00,4.7 star rating,30 Reviews
Dark Brown | Brow Powder,Kybrow,$16.00,4.5 star rating,27 Reviews
Ebony | Brow Powder,Kybrow,$16.00,4.4 star rating,16 Reviews
Blonde | Brow Pomade,Kybrow,$16.00,4.8 star rating,31 Reviews
Auburn | Brow Pomade,Kybrow,$16.00,4.6 star rating,8 Reviews
Cool Brown | Brow Pomade,Kybrow,$16.00,4.8 star rating,33 Reviews
Medium Brown | Brow Pomade,Kybrow,$16.00,4.9 star rating,48 Reviews
Dark Brown | Brow Pomade,Kybrow,$16.00,4.9 star rating,60 Reviews
Ebony | Brow Pomade,Kybrow,$16.00,4.2 star rating,21 Reviews
Blonde | Brow Pencil,Kybrow,$14.00,4.6 star rating,24 Reviews
Auburn | Brow Pencil,Kybrow,$14.00,4.6 star rating,14 Reviews
Cool Brown | Brow Pencil,Kybrow,$14.00,4.6 star rating,37 Reviews
Medium Brown | Brow Pencil,Kybrow,$14.00,4.6 star rating,47 Reviews
Dark Brown | Brow Pencil,Kybrow,$14.00,4.5 star rating,71 Reviews
Ebony | Brow Pencil,Kybrow,$14.00,4.2 star rating,35 Reviews
Light Matte | Brow Highlight,Kybrow,"$5.00
$12.00",4.7 star rating,22 Reviews
Medium Matte | Brow Highlight,Kybrow,"$5.00
$12.00",4.5 star rating,17 Reviews
Dark Matte | Brow Highlight,Kybrow,"$5.00
$12.00",4.2 star rating,5 Reviews
Light Shimmer | Brow Highlight,Kybrow,"$5.00
$12.00",4.6 star rating,24 Reviews
Medium Shimmer | Brow Highlight,Kybrow,"$5.00
$12.00",4.1 star rating,19 Reviews
Dark Shimmer | Brow Highlight,Kybrow,"$5.00
$12.00",4.1 star rating,8 Reviews
Kybrow Extreme Hold Gel | Brow Gel,Kybrow,$16.00,4.8 star rating,120 Reviews
Brow Brush | Kybrow,Kybrow,$10.00,4.6 star rating,98 Reviews
